Season,Sentiment,Count,percent
01,Negative,156,0.2524271844660194
01,Positive,462,0.7475728155339806
02,Negative,118,0.21071428571428572
02,Positive,442,0.7892857142857143
03,Negative,182,0.2275
03,Positive,618,0.7725
04,Negative,165,0.20072992700729927
04,Positive,657,0.7992700729927007
05,Negative,187,0.21593533487297922
05,Positive,679,0.7840646651270208
06,Negative,185,0.20555555555555555
06,Positive,715,0.7944444444444444
07,Negative,169,0.21072319201995013
07,Positive,633,0.7892768079800498
08,Negative,176,0.2216624685138539
08,Positive,618,0.7783375314861462
09,Negative,188,0.24511082138200782
09,Positive,579,0.7548891786179922
10,Negative,152,0.22788605697151423
10,Positive,515,0.7721139430284858
